"element"	"state"	"cell"
"121"	"chr2,111727008,Evia,1"	"inactive"	"33"
"122"	"chr2,111790066,Antiparos,1"	"inactive"	"33"
"123"	"chr2,112200848,Zakynthos,1"	"inactive"	"33"
"124"	"chr7,102513116,Milos,0"	"inactive"	"33"
"125"	"chr7,102673445,Pontikonisi,0"	"inactive"	"33"
"126"	"chr7,108797663,Ios,0"	"inactive"	"33"
"127"	"chr14,52548102,H,0"	"active"	"33"
"128"	"chr16,3781465,Kastelorizo,0"	"active"	"33"
"129"	"chr16,58957158,Gavdos,1"	"active"	"33"
"130"	"chr17,37544209,Tilos,0"	"active"	"33"
"131"	"chr6,116614138,Kalymnos,1"	"active"	"33"
"132"	"chr7,6545373,Kefallonia,0"	"active"	"33"
"133"	"chr7,6650058,Amorgos,0"	"active"	"33"
"134"	"chr11,50999358,Symi,0"	"inactive"	"36"
"135"	"chr11,58739310,Souda,0"	"inactive"	"36"
"136"	"chr11,58810944,Andros,0"	"inactive"	"36"
"137"	"chr2,90414460,Paros,1"	"inactive"	"36"
"138"	"chr2,111727008,Evia,1"	"inactive"	"36"
"139"	"chr2,111790066,Antiparos,1"	"inactive"	"36"
"140"	"chr2,112200848,Zakynthos,1"	"inactive"	"36"
"141"	"chr11,49575570,Skyros,1"	"active"	"36"
"142"	"chr11,50999358,Symi,1"	"active"	"36"
"143"	"chr11,74036298,Crete,1"	"active"	"36"
"144"	"chr14,52548102,H,1"	"active"	"36"
"145"	"chr14,52548102,H,0"	"active"	"36"
"146"	"chr14,54285038,Agistri,0"	"active"	"36"
"147"	"chr14,54304274,Salamina,0"	"active"	"36"
"148"	"chr19,12831017,Rho,0"	"active"	"36"
"149"	"chr7,140187230,Fourni,0"	"active"	"36"
"150"	"chr11,87897263,Naxos,0"	"inactive"	"39"
"151"	"chr11,87907305,Kasos,0"	"inactive"	"39"
"152"	"chr11,87937384,Sifnos,0"	"inactive"	"39"
"153"	"chr14,50758873,Lesvos,0"	"active"	"39"
"154"	"chr14,52548102,H,0"	"active"	"39"
"155"	"chr7,108797663,Ios,0"	"active"	"39"
"156"	"chr7,140187230,Fourni,0"	"inactive"	"4"
"157"	"chr14,52548102,H,0"	"active"	"4"
"158"	"chr10,78618146,Aigina,1"	"inactive"	"40"
"159"	"chr11,59576044,Delos,1"	"inactive"	"40"
"160"	"chr14,52548102,H,0"	"active"	"40"
"161"	"chr9,19651318,Donousa,1"	"active"	"40"
"162"	"chr1,173190736,Kea,1"	"inactive"	"42"
"163"	"chr1,173212360,Kythnos,1"	"inactive"	"42"
"164"	"chr1,173265900,Serifos,1"	"inactive"	"42"
"165"	"chr1,174036149,Astypalea,1"	"inactive"	"42"
"166"	"chr1,174342694,Santorini,1"	"inactive"	"42"
"167"	"chr15,98263558,Paxi,1"	"inactive"	"42"
"168"	"chr10,78618146,Aigina,0"	"active"	"42"
"169"	"chr14,50758873,Lesvos,0"	"active"	"42"
"170"	"chr14,52548102,H,0"	"active"	"42"
"171"	"chr17,37544209,Tilos,1"	"active"	"42"
"172"	"chr7,6545373,Kefallonia,0"	"active"	"42"
"173"	"chr7,6650058,Amorgos,0"	"active"	"42"
"174"	"chr11,58739310,Souda,0"	"inactive"	"43"
"175"	"chr11,58810944,Andros,0"	"inactive"	"43"
"176"	"chr11,59576044,Delos,0"	"inactive"	"43"
"177"	"chr11,87897263,Naxos,0"	"inactive"	"43"
"178"	"chr11,87907305,Kasos,0"	"inactive"	"43"
"179"	"chr11,87937384,Sifnos,0"	"inactive"	"43"
"180"	"chr16,3781465,Kastelorizo,1"	"inactive"	"43"
"181"	"chr1,92546156,Rhodes,1"	"active"	"43"
"182"	"chr10,78618146,Aigina,1"	"active"	"43"
"183"	"chr10,128978954,Poros,1"	"active"	"43"
"184"	"chr10,128978954,Poros,0"	"active"	"43"
"185"	"chr14,50758873,Lesvos,0"	"active"	"43"
"186"	"chr14,52548102,H,0"	"active"	"43"
"187"	"chr6,116614138,Kalymnos,0"	"active"	"43"
"188"	"chr4,43716210,Ithaki,1"	"inactive"	"44"
"189"	"chr4,43726115,Samothraki,1"	"inactive"	"44"
"190"	"chr4,43823984,Makronisos,1"	"inactive"	"44"
"191"	"chr4,58764138,Chios,1"	"inactive"	"44"
"192"	"chr11,50999358,Symi,0"	"active"	"44"
"193"	"chr11,58739310,Souda,0"	"active"	"44"
"194"	"chr11,58810944,Andros,0"	"active"	"44"
"195"	"chr14,52548102,H,0"	"active"	"44"
"196"	"chr19,12831017,Rho,1"	"inactive"	"45"
"197"	"chr19,14090659,Oinouses,1"	"inactive"	"45"
"198"	"chr19,14096517,Tinos,1"	"inactive"	"45"
"199"	"chr9,19651318,Donousa,0"	"inactive"	"45"
"200"	"chr14,50758873,Lesvos,0"	"active"	"45"
"201"	"chr14,52548102,H,0"	"active"	"45"
"202"	"chr6,42869928,Sfaktiria,0"	"active"	"45"
"203"	"chr6,116614138,Kalymnos,0"	"active"	"45"
"204"	"chr10,130098702,Kithira,1"	"inactive"	"47"
"205"	"chr7,6650058,Amorgos,1"	"inactive"	"47"
"206"	"chr14,50758873,Lesvos,0"	"active"	"47"
"207"	"chr14,52548102,H,0"	"active"	"47"
"208"	"chr1,92546156,Rhodes,1"	"inactive"	"50"
"209"	"chr4,118642412,Nimos,1"	"inactive"	"50"
"210"	"chr4,118658778,Mykonos,1"	"inactive"	"50"
"211"	"chr4,118729616,Leros,1"	"inactive"	"50"
"212"	"chr14,50758873,Lesvos,0"	"active"	"50"
"213"	"chr14,52548102,H,0"	"active"	"50"
"214"	"chr14,54285038,Agistri,0"	"active"	"50"
"215"	"chr14,54304274,Salamina,0"	"active"	"50"
"216"	"chr11,58739310,Souda,1"	"inactive"	"51"
"217"	"chr4,118642412,Nimos,1"	"inactive"	"51"
"218"	"chr4,118658778,Mykonos,1"	"inactive"	"51"
"219"	"chr4,118729616,Leros,1"	"inactive"	"51"
"220"	"chr6,116614138,Kalymnos,1"	"inactive"	"51"
"221"	"chr11,50999358,Symi,0"	"active"	"51"
"222"	"chr11,74036298,Crete,0"	"active"	"51"
"223"	"chr14,50758873,Lesvos,1"	"active"	"51"
"224"	"chr14,50758873,Lesvos,0"	"active"	"51"
"225"	"chr14,52548102,H,0"	"active"	"51"
"226"	"chr16,58957158,Gavdos,1"	"inactive"	"53"
"227"	"chr19,14090659,Oinouses,0"	"inactive"	"53"
"228"	"chr19,14096517,Tinos,0"	"inactive"	"53"
"229"	"chr6,42576866,Anafi,0"	"inactive"	"53"
"230"	"chr6,42869928,Sfaktiria,0"	"inactive"	"53"
"231"	"chr14,50758873,Lesvos,0"	"active"	"53"
"232"	"chr14,52548102,H,0"	"active"	"53"
"233"	"chr7,6545373,Kefallonia,1"	"active"	"53"
"234"	"chr7,6650058,Amorgos,1"	"active"	"53"
"235"	"chr7,108797663,Ios,1"	"active"	"53"
"236"	"chr11,49575570,Skyros,0"	"inactive"	"54"
"237"	"chr11,58739310,Souda,0"	"inactive"	"54"
"238"	"chr11,58810944,Andros,0"	"inactive"	"54"
"239"	"chr11,59576044,Delos,0"	"inactive"	"54"
"240"	"chr9,19651318,Donousa,0"	"inactive"	"54"
"241"	"chr14,50758873,Lesvos,0"	"active"	"54"
"242"	"chr14,52548102,H,0"	"active"	"54"
"243"	"chr4,118642412,Nimos,1"	"active"	"54"
"244"	"chr4,118658778,Mykonos,1"	"active"	"54"
"245"	"chr4,118729616,Leros,1"	"active"	"54"
"246"	"chr16,58957158,Gavdos,1"	"inactive"	"58"
"247"	"chr2,37128089,Lipsi,0"	"inactive"	"58"
"248"	"chr2,90414460,Paros,0"	"inactive"	"58"
"249"	"chr2,111727008,Evia,0"	"inactive"	"58"
"250"	"chr2,111790066,Antiparos,0"	"inactive"	"58"
"251"	"chr2,112200848,Zakynthos,0"	"inactive"	"58"
"252"	"chr6,116614138,Kalymnos,1"	"inactive"	"58"
"253"	"chr9,19651318,Donousa,0"	"inactive"	"58"
"254"	"chr1,173190736,Kea,1"	"active"	"58"
"255"	"chr1,173212360,Kythnos,1"	"active"	"58"
"256"	"chr1,173265900,Serifos,1"	"active"	"58"
"257"	"chr1,174036149,Astypalea,1"	"active"	"58"
"258"	"chr1,174342694,Santorini,1"	"active"	"58"
"259"	"chr11,74036298,Crete,0"	"active"	"58"
"260"	"chr14,50758873,Lesvos,0"	"active"	"58"
"261"	"chr14,52548102,H,0"	"active"	"58"
"262"	"chr14,54285038,Agistri,0"	"active"	"58"
"263"	"chr14,54304274,Salamina,0"	"active"	"58"
"264"	"chr4,118642412,Nimos,0"	"active"	"58"
"265"	"chr4,118658778,Mykonos,0"	"active"	"58"
"266"	"chr4,118729616,Leros,0"	"active"	"58"
"267"	"chr11,49575570,Skyros,0"	"inactive"	"60"
"268"	"chr11,50999358,Symi,0"	"inactive"	"60"
"269"	"chr11,74036298,Crete,0"	"inactive"	"60"
"270"	"chr3,97491365,Folegandros,0"	"inactive"	"60"
"271"	"chr6,116614138,Kalymnos,1"	"inactive"	"60"
"272"	"chr11,58739310,Souda,1"	"active"	"60"
"273"	"chr11,58810944,Andros,1"	"active"	"60"
"274"	"chr14,50758873,Lesvos,0"	"active"	"60"
"275"	"chr14,52548102,H,0"	"active"	"60"
"276"	"chr9,37687840,Kimolos,1"	"active"	"60"
"277"	"chr11,50999358,Symi,0"	"inactive"	"62"
"278"	"chr11,59576044,Delos,0"	"inactive"	"62"
"279"	"chr14,50758873,Lesvos,0"	"active"	"62"
"280"	"chr14,52548102,H,0"	"active"	"62"
"281"	"chr15,98263558,Paxi,0"	"inactive"	"65"
"282"	"chr9,19651318,Donousa,1"	"inactive"	"65"
"283"	"chr1,92546156,Rhodes,0"	"active"	"65"
"284"	"chr14,52548102,H,0"	"active"	"65"
"285"	"chr6,42869928,Sfaktiria,0"	"inactive"	"66"
"286"	"chr14,52548102,H,0"	"active"	"66"
"287"	"chr7,99730118,Patmos,0"	"inactive"	"74"
"288"	"chr7,99788064,Ikaria,0"	"inactive"	"74"
"289"	"chr14,50758873,Lesvos,0"	"active"	"74"
"290"	"chr14,52548102,H,0"	"active"	"74"
"291"	"chr7,99730118,Patmos,1"	"inactive"	"75"
"292"	"chr7,99730118,Patmos,0"	"inactive"	"75"
"293"	"chr7,99788064,Ikaria,1"	"inactive"	"75"
"294"	"chr7,99788064,Ikaria,0"	"inactive"	"75"
"295"	"chr1,92546156,Rhodes,1"	"active"	"75"
"296"	"chr14,50758873,Lesvos,0"	"active"	"75"
"297"	"chr14,52548102,H,0"	"active"	"75"
"298"	"chr16,3781465,Kastelorizo,0"	"active"	"75"
"299"	"chr17,37544209,Tilos,0"	"active"	"75"
"300"	"chr1,174036149,Astypalea,1"	"inactive"	"76"
"301"	"chr2,90414460,Paros,1"	"inactive"	"76"
"302"	"chr2,111727008,Evia,1"	"inactive"	"76"
"303"	"chr2,111790066,Antiparos,1"	"inactive"	"76"
"304"	"chr6,116614138,Kalymnos,0"	"inactive"	"76"
"305"	"chr7,108797663,Ios,0"	"inactive"	"76"
"306"	"chr11,58739310,Souda,0"	"active"	"76"
"307"	"chr14,52548102,H,0"	"active"	"76"
"308"	"chr2,90414460,Paros,0"	"active"	"76"
"309"	"chr2,111727008,Evia,0"	"active"	"76"
"310"	"chr2,111790066,Antiparos,0"	"active"	"76"
"311"	"chr9,37687840,Kimolos,1"	"active"	"76"
"312"	"chr10,128978954,Poros,0"	"inactive"	"78"
"313"	"chr10,130098702,Kithira,0"	"inactive"	"78"
"314"	"chr14,50758873,Lesvos,0"	"active"	"78"
"315"	"chr14,52548102,H,0"	"active"	"78"
"316"	"chr2,111727008,Evia,1"	"inactive"	"79"
"317"	"chr2,111790066,Antiparos,1"	"inactive"	"79"
"318"	"chr2,112200848,Zakynthos,1"	"inactive"	"79"
"319"	"chr3,106876328,Kos,0"	"inactive"	"79"
"320"	"chr4,118642412,Nimos,0"	"inactive"	"79"
"321"	"chr4,118658778,Mykonos,0"	"inactive"	"79"
"322"	"chr4,118729616,Leros,0"	"inactive"	"79"
"323"	"chr14,52548102,H,0"	"active"	"79"
"324"	"chr16,3781465,Kastelorizo,1"	"active"	"79"
"325"	"chr17,37544209,Tilos,1"	"active"	"79"
"326"	"chr17,37544209,Tilos,0"	"active"	"79"
"327"	"chr2,37128089,Lipsi,1"	"active"	"79"
"328"	"chr2,90414460,Paros,1"	"active"	"79"
"329"	"chr9,37687840,Kimolos,1"	"active"	"79"
"330"	"chr11,74036298,Crete,1"	"inactive"	"8"
"331"	"chr15,98263558,Paxi,0"	"inactive"	"8"
"332"	"chr2,111727008,Evia,0"	"inactive"	"8"
"333"	"chr2,111790066,Antiparos,0"	"inactive"	"8"
"334"	"chr2,112200848,Zakynthos,0"	"inactive"	"8"
"335"	"chr7,86295200,Thira,1"	"inactive"	"8"
"336"	"chr9,19651318,Donousa,1"	"inactive"	"8"
"337"	"chr9,37687840,Kimolos,1"	"inactive"	"8"
"338"	"chr9,39952214,Psara,1"	"inactive"	"8"
"339"	"chr14,52548102,H,0"	"active"	"8"
"340"	"chr14,54285038,Agistri,0"	"active"	"8"
"341"	"chr14,54304274,Salamina,0"	"active"	"8"
"342"	"chr19,12831017,Rho,0"	"active"	"8"
"343"	"chr6,116614138,Kalymnos,1"	"active"	"8"
"344"	"chr7,108797663,Ios,1"	"active"	"8"
"345"	"chr7,140187230,Fourni,1"	"active"	"8"
"346"	"chr9,19651318,Donousa,0"	"active"	"8"
"347"	"chr9,37687840,Kimolos,0"	"active"	"8"
"348"	"chr2,111727008,Evia,1"	"inactive"	"80"
"349"	"chr2,111790066,Antiparos,1"	"inactive"	"80"
"350"	"chr2,112200848,Zakynthos,1"	"inactive"	"80"
"351"	"chr14,50758873,Lesvos,0"	"active"	"80"
"352"	"chr14,52548102,H,0"	"active"	"80"
"353"	"chr19,12831017,Rho,1"	"active"	"80"
"354"	"chr11,58739310,Souda,0"	"inactive"	"81"
"355"	"chr11,58810944,Andros,0"	"inactive"	"81"
"356"	"chr2,37128089,Lipsi,0"	"inactive"	"81"
"357"	"chr2,90414460,Paros,0"	"inactive"	"81"
"358"	"chr2,111727008,Evia,0"	"inactive"	"81"
"359"	"chr2,111790066,Antiparos,0"	"inactive"	"81"
"360"	"chr7,99730118,Patmos,1"	"inactive"	"81"
"361"	"chr7,99788064,Ikaria,1"	"inactive"	"81"
"362"	"chr7,108797663,Ios,1"	"inactive"	"81"
"363"	"chr7,108797663,Ios,0"	"inactive"	"81"
"364"	"chr14,50758873,Lesvos,0"	"active"	"81"
"365"	"chr14,52548102,H,0"	"active"	"81"
"366"	"chr14,54285038,Agistri,0"	"active"	"81"
"367"	"chr14,54304274,Salamina,0"	"active"	"81"
"368"	"chr3,97491365,Folegandros,1"	"active"	"81"
"369"	"chr4,118642412,Nimos,0"	"active"	"81"
"370"	"chr4,118658778,Mykonos,0"	"active"	"81"
"371"	"chr4,118729616,Leros,0"	"active"	"81"
"372"	"chr9,37687840,Kimolos,0"	"active"	"81"
"373"	"chr1,173190736,Kea,0"	"inactive"	"85"
"374"	"chr1,173212360,Kythnos,0"	"inactive"	"85"
"375"	"chr1,173265900,Serifos,0"	"inactive"	"85"
"376"	"chr1,174036149,Astypalea,0"	"inactive"	"85"
"377"	"chr1,174342694,Santorini,0"	"inactive"	"85"
"378"	"chr11,50999358,Symi,0"	"inactive"	"85"
"379"	"chr11,87897263,Naxos,0"	"active"	"85"
"380"	"chr11,87907305,Kasos,0"	"active"	"85"
"381"	"chr11,87937384,Sifnos,0"	"active"	"85"
"382"	"chr14,50758873,Lesvos,0"	"active"	"85"
"383"	"chr14,52548102,H,0"	"active"	"85"
"384"	"chr6,42576866,Anafi,1"	"active"	"85"
"385"	"chr6,42869928,Sfaktiria,1"	"active"	"85"
"386"	"chr17,37544209,Tilos,1"	"inactive"	"86"
"387"	"chr14,52548102,H,0"	"active"	"86"
"388"	"chr2,111727008,Evia,1"	"inactive"	"89"
"389"	"chr2,111790066,Antiparos,1"	"inactive"	"89"
"390"	"chr2,112200848,Zakynthos,1"	"inactive"	"89"
"391"	"chr14,50758873,Lesvos,0"	"active"	"89"
"392"	"chr14,52548102,H,0"	"active"	"89"
"393"	"chr7,108797663,Ios,0"	"active"	"89"
"394"	"chr10,130098702,Kithira,1"	"inactive"	"90"
"395"	"chr11,74036298,Crete,0"	"inactive"	"90"
"396"	"chr3,97491365,Folegandros,1"	"inactive"	"90"
"397"	"chr9,37687840,Kimolos,0"	"inactive"	"90"
"398"	"chr9,39952214,Psara,0"	"inactive"	"90"
"399"	"chr1,92546156,Rhodes,0"	"active"	"90"
"400"	"chr1,174036149,Astypalea,0"	"active"	"90"
"401"	"chr14,50758873,Lesvos,0"	"active"	"90"
"402"	"chr14,52548102,H,0"	"active"	"90"
"403"	"chr6,42869928,Sfaktiria,1"	"active"	"90"
"404"	"chr10,128978954,Poros,0"	"inactive"	"93"
"405"	"chr10,130098702,Kithira,0"	"inactive"	"93"
"406"	"chr7,86295200,Thira,1"	"inactive"	"93"
"407"	"chr7,108797663,Ios,1"	"inactive"	"93"
"408"	"chr7,140187230,Fourni,1"	"inactive"	"93"
"409"	"chr11,74036298,Crete,1"	"active"	"93"
"410"	"chr14,50758873,Lesvos,0"	"active"	"93"
"411"	"chr14,52548102,H,1"	"active"	"93"
"412"	"chr14,52548102,H,0"	"active"	"93"
"413"	"chr2,37128089,Lipsi,1"	"active"	"93"
"414"	"chr1,173190736,Kea,0"	"inactive"	"94"
"415"	"chr1,173212360,Kythnos,0"	"inactive"	"94"
"416"	"chr1,173265900,Serifos,0"	"inactive"	"94"
"417"	"chr1,174036149,Astypalea,0"	"inactive"	"94"
"418"	"chr1,174342694,Santorini,0"	"inactive"	"94"
"419"	"chr10,128978954,Poros,1"	"active"	"94"
"420"	"chr10,130098702,Kithira,1"	"active"	"94"
"421"	"chr14,50758873,Lesvos,0"	"active"	"94"
"422"	"chr14,52548102,H,0"	"active"	"94"
"423"	"chr9,19651318,Donousa,0"	"active"	"94"
"424"	"chr10,78618146,Aigina,0"	"inactive"	"14"
"425"	"chr7,86295200,Thira,0"	"inactive"	"14"
"426"	"chr7,102513116,Milos,0"	"inactive"	"14"
"427"	"chr7,102673445,Pontikonisi,0"	"inactive"	"14"
"428"	"chr7,108797663,Ios,0"	"inactive"	"14"
"429"	"chr9,39952214,Psara,0"	"inactive"	"14"
"430"	"chr14,50758873,Lesvos,0"	"active"	"14"
"431"	"chr14,52548102,H,0"	"active"	"14"
"432"	"chr4,118642412,Nimos,0"	"active"	"14"
"433"	"chr4,118658778,Mykonos,0"	"active"	"14"
"434"	"chr4,118729616,Leros,0"	"active"	"14"
"435"	"chr7,6545373,Kefallonia,1"	"active"	"14"
"436"	"chr7,6650058,Amorgos,1"	"active"	"14"
"437"	"chr7,108797663,Ios,1"	"active"	"14"
"438"	"chr1,173190736,Kea,1"	"inactive"	"18"
"439"	"chr1,173212360,Kythnos,1"	"inactive"	"18"
"440"	"chr1,173265900,Serifos,1"	"inactive"	"18"
"441"	"chr1,174036149,Astypalea,1"	"inactive"	"18"
"442"	"chr10,128978954,Poros,1"	"inactive"	"18"
"443"	"chr11,74036298,Crete,0"	"inactive"	"18"
"444"	"chr7,6545373,Kefallonia,1"	"inactive"	"18"
"445"	"chr7,6650058,Amorgos,1"	"inactive"	"18"
"446"	"chr9,19651318,Donousa,0"	"inactive"	"18"
"447"	"chr1,174342694,Santorini,1"	"active"	"18"
"448"	"chr11,49575570,Skyros,0"	"active"	"18"
"449"	"chr11,50999358,Symi,0"	"active"	"18"
"450"	"chr11,58739310,Souda,0"	"active"	"18"
"451"	"chr11,58810944,Andros,0"	"active"	"18"
"452"	"chr11,59576044,Delos,0"	"active"	"18"
"453"	"chr14,50758873,Lesvos,0"	"active"	"18"
"454"	"chr14,52548102,H,0"	"active"	"18"
"455"	"chr19,12831017,Rho,1"	"active"	"18"
"456"	"chr9,37687840,Kimolos,0"	"active"	"18"
"457"	"chr9,39952214,Psara,0"	"active"	"18"
"458"	"chr10,130098702,Kithira,1"	"inactive"	"19"
"459"	"chr11,50999358,Symi,0"	"inactive"	"19"
"460"	"chr11,58739310,Souda,0"	"inactive"	"19"
"461"	"chr11,58810944,Andros,0"	"inactive"	"19"
"462"	"chr11,74036298,Crete,0"	"inactive"	"19"
"463"	"chr9,19651318,Donousa,0"	"inactive"	"19"
"464"	"chr14,52548102,H,0"	"active"	"19"
"465"	"chr2,90414460,Paros,0"	"active"	"19"
"466"	"chr2,111727008,Evia,0"	"active"	"19"
"467"	"chr2,111790066,Antiparos,0"	"active"	"19"
"468"	"chr2,112200848,Zakynthos,0"	"active"	"19"
